"구분,지점코드,숙소명,비교대상자사코드,상권명,,,야호,,,,,,,,,,,,,"
"경쟁사,1019124,충주 호텔 에이치에비뉴 시청점,10044646,충주/수안보,,,,,,,,,,,,,,,,"
"경쟁사,10041074,충주 어반브라운호텔(충주시청점),10044646,충주/수안보,,,,,,,,,,,,,,,,"
"자사,10055518,프롬에이치 에이스호텔 by 아늑,,유성구,,,,,,,,,,,,,,,,"
"경쟁사,1009259,대전 유성 호텔 141,10055518,유성구,,,,,,,,,,,,,,,,"
"경쟁사,27195,대전 유성 호텔 프리모,10055518,유성구,,,,,,,,,,,,,,,,"
"경쟁사,3010407,대전 유성 세르보,10055518,유성구,,,,,,,,,,,,,,,,"
"자사,1009472,아늑에어 호텔 대전 문창점,,중구(은행/대흥/선화/유천),,,,,,,,,,,,,,,,"
"경쟁사,1000104798,대전 문창 호텔 더리즈,1009472,중구(은행/대흥/선화/유천),,,,,,,,,,,,,,,,"
"경쟁사,1009467,대전 문창 호텔 띠아모,1009472,중구(은행/대흥/선화/유천),,,,,,,,,,,,,,,,"
"경쟁사,3001897,대전 문창 호텔 썸,1009472,중구(은행/대흥/선화/유천),,,,,,,,,,,,,,,,"
"자사,25219,아늑호텔 수원 인계점,,수원 인계동/나혜석거리,,,,,,,,,,,,,,,,"
"경쟁사,1002897,수원(인계동) 앨리스 호텔,25219,수원 인계동/나혜석거리,,,,,,,,,,,,,,,,"
"경쟁사,27095,수원(인계동) 모노호텔,25219,수원 인계동/나혜석거리,,,,,,,,,,,,,,,,"
"경쟁사,3000341,수원(인계동) 지오,25219,수원 인계동/나혜석거리,,,,,,,,,,,,,,,,"
"자사,24020,아늑호텔 신촌점,,신촌/홍대/합정,,,,,,,,,,,,,,,,"
"경쟁사,24887,신촌 모모,24020,신촌/홍대/합정,,,,,,,,,,,,,,,,"
"경쟁사,24486,신촌 MAC(맥),24020,신촌/홍대/합정,,,,,,,,,,,,,,,,"
"경쟁사,25995,신촌 피오나,24020,신촌/홍대/합정,,,,,,,,,,,,,,,,"
"자사,1019445,미타스야 료칸 호텔 인천서구청역 by 아늑,,서구(석남/서구청/검단),,,,,,,,,,,,,,,,"
"경쟁사,10055732,인천(서구) 저스트슬립 호텔 인천서구청점,1019445,서구(석남/서구청/검단),,,,,,,,,,,,,,,,"
"경쟁사,10048869,인천(서구) 넘버25 인천서구점,1019445,서구(석남/서구청/검단),,,,,,,,,,,,,,,,"
"경쟁사,10042644,인천(서구) 비욘드 호텔,1019445,서구(석남/서구청/검단),,,,,,,,,,,,,,,,"
"자사,1009105,타임터미널 호텔 용전 2호점 by 아늑,,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,1000113767,대전 용전 벨레자 호텔,1009105,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,1009092,대전 용전 호텔 샾,1009105,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,10060860,대전 용전 하니파크,1009105,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"자사,1000103239,아늑에어 호텔 가평점,,가평/청평,,,,,,,,,,,,,,,,"
"경쟁사,3020476,가평 THE MOTEL(더모텔),1000103239,가평/청평,,,,,,,,,,,,,,,,"
"경쟁사,3020477,가평 보송모텔,1000103239,가평/청평,,,,,,,,,,,,,,,,"
"경쟁사,10052796,가평 그라체 호텔,1000103239,가평/청평,,,,,,,,,,,,,,,,"
"자사,3009646,아늑에어 호텔 진주성점,,진주,,,,,,,,,,,,,,,,"
"경쟁사,3000253,진주 호텔 꿀밤스테이,3009646,진주,,,,,,,,,,,,,,,,"
"경쟁사,1019693,진주 쉬자 호텔 진주성점 - SHEJA,3009646,진주,,,,,,,,,,,,,,,,"
